sha256,apt_group,c2,Subdomain,Domain
7b9fd4b9b36cf84fcbcb3e9bf589d8a51c2166558baf462ab312929fbb584642,apt2014,108.175.152.230:4444,,108.175.152.230
5e346bad5ee6cd19d40997ac34b37d60eeb8fcafe7d8d618393e01372eb7c944,apt2014,tn5.linkpc.net:1863,tn5,linkpc
5e346bad5ee6cd19d40997ac34b37d60eeb8fcafe7d8d618393e01372eb7c944,syrian electronic army,tn5.linkpc.net:1863,tn5,linkpc
634685e43e9f73343cb337ec64a8679485e1ddb4c2de5ecb6a5746aa5ddb1b72,apt2014,108.175.152.230:12345,,108.175.152.230
4d423a6a469d9797efd4a41c03389b97c3ffc141acffa1fad1bb891ef82e2ed4,apt2014,hhhhhkrufnrrrs1982.zapto.org:1177,hhhhhkrufnrrrs1982,zapto
4d423a6a469d9797efd4a41c03389b97c3ffc141acffa1fad1bb891ef82e2ed4,syrian electronic army,hhhhhkrufnrrrs1982.zapto.org:1177,hhhhhkrufnrrrs1982,zapto
97bbee79e9e9eb4bb670eedd6c46cc03a0bc7f8fc50796f5bc3ae8c8cace9fd4,apt2014,31.9.48.141:5552,,31.9.48.141
97bbee79e9e9eb4bb670eedd6c46cc03a0bc7f8fc50796f5bc3ae8c8cace9fd4,syrian electronic army,31.9.48.141:5552,,31.9.48.141
17679da43c62295a77751e9420ca3c23f6289389d785c29ee66652a8e0586ad0,apt2014,hhhhhkrufnrrrs1982.zapto.org:1177,hhhhhkrufnrrrs1982,zapto
17679da43c62295a77751e9420ca3c23f6289389d785c29ee66652a8e0586ad0,syrian electronic army,hhhhhkrufnrrrs1982.zapto.org:1177,hhhhhkrufnrrrs1982,zapto
b54a77ef46deda4bbb3444b191bfe3008567eab10e46ff7c5e669ffc00ee62f3,apt2014,basharalassad1.no-ip.biz:5010,basharalassad1,no-ip
b54a77ef46deda4bbb3444b191bfe3008567eab10e46ff7c5e669ffc00ee62f3,syrian electronic army,basharalassad1.no-ip.biz:5010,basharalassad1,no-ip
7cc19219e84ae56ee2e258eace9ddaeebd9efb7145dd25939444f6b822b783f8,apt2014,tn5.linkpc.net:1863,tn5,linkpc
7cc19219e84ae56ee2e258eace9ddaeebd9efb7145dd25939444f6b822b783f8,syrian electronic army,tn5.linkpc.net:1863,tn5,linkpc
1b50bda5aac6539671ce72829961b3313b9df7430ded13b90cd84a6f9e24a19f,apt2014,31.9.48.141:1604,,31.9.48.141
1b50bda5aac6539671ce72829961b3313b9df7430ded13b90cd84a6f9e24a19f,syrian electronic army,31.9.48.141:1604,,31.9.48.141
2d175534427844bdade1a80e49b37cddb3dc0b72bc4c09331c630606b63c5ed6,apt2014,tn5.linkpc.net:83,tn5,linkpc
2d175534427844bdade1a80e49b37cddb3dc0b72bc4c09331c630606b63c5ed6,syrian electronic army,tn5.linkpc.net:83,tn5,linkpc
d9d2d40ce79d6c0986049a4b2a6a90259de49c49b7522c31750632edb6959f4d,apt2014,abalse.no-ip.biz:1177,abalse,no-ip
d9d2d40ce79d6c0986049a4b2a6a90259de49c49b7522c31750632edb6959f4d,syrian electronic army,abalse.no-ip.biz:1177,abalse,no-ip
f6b082ffb59a4fa3adff85ce7351823f15b40f8bcef8957c6b8c8697b8ac84d2,apt2014,syriahackers.no-ip.biz:1177,syriahackers,no-ip
f6b082ffb59a4fa3adff85ce7351823f15b40f8bcef8957c6b8c8697b8ac84d2,syrian electronic army,syriahackers.no-ip.biz:1177,syriahackers,no-ip
16513eaf1ab0b9489cc8c7faf5c21b7c6d26f13bef34c074cf49f538ffd9898d,apt2014,tn5.linkpc.net:83,tn5,linkpc
16513eaf1ab0b9489cc8c7faf5c21b7c6d26f13bef34c074cf49f538ffd9898d,syrian electronic army,tn5.linkpc.net:83,tn5,linkpc
fff42f45f813aeee6c78b91cd4fad8eda9b5ac1daaba532057caa2f12cf62b21,apt2015,46.166.161.71:2148,,46.166.161.71
fff42f45f813aeee6c78b91cd4fad8eda9b5ac1daaba532057caa2f12cf62b21,apt2015,voip.ddns.me:2148,voip,ddns
f8e8574ed192ac8529f3cd1e62ca56d3e236d86726af2c71c0ff448d179c5b64,apt2015,anonymous2325.no-ip.info:1604,anonymous2325,no-ip
f88711a5dfca2b69cf49a167e5e95de731477e127d3248493b2c218979c64f10,apt2015,109.87.231.216:81,,109.87.231.216
f478e50328f905318e7e2f95d9cfc5773de074c371d1403d5c95a4d53637b994,apt2015,paddlesoft.zapto.org:1604,paddlesoft,zapto
f351206366b9f263add16413bbdfd035a181d3141ca1e58d2aa5128a594b94c4,apt2015,134.249.157.192:1604,,134.249.157.192
f30d236706be7b369aab6f88b4c3965ec995736de972f5d23b74942dc206d9f7,apt2015,46.20.33.108:1604,,46.20.33.108
f0bd6a4a3728c955bfb74b1e534d298b3faef9e00b688d96022b063d544499e8,apt2015,176.36.142.63:1605,,176.36.142.63
49feeabc85ebea1304be6fbf4f54145f12a779008912d5e1b18c79bec842b418,apt2015,80.241.223.128:27373,,80.241.223.128
49feeabc85ebea1304be6fbf4f54145f12a779008912d5e1b18c79bec842b418,apt2015,80.241.223.128:27474,,80.241.223.128
db6883b0dd7c5d3a23fb9609b087e8494cb08ca9d478878e07d868bf68e52267,apt2015,lolinha.no-ip.org:200,lolinha,no-ip
db6883b0dd7c5d3a23fb9609b087e8494cb08ca9d478878e07d868bf68e52267,apt2015,ruley.no-ip.org:200,ruley,no-ip
db6883b0dd7c5d3a23fb9609b087e8494cb08ca9d478878e07d868bf68e52267,apt2015,wjwj.no-ip.org:200,wjwj,no-ip
e1d80ac40fc78eef9d28f7c84b31e10eedaa4ff3044a53955557d70e8074f9f0,apt2015,taskmgr.serveftp.com:700,taskmgr,serveftp
e1d80ac40fc78eef9d28f7c84b31e10eedaa4ff3044a53955557d70e8074f9f0,apt2015,taskmgr.servehttp.com:700,taskmgr,servehttp
e850650e6982469529768988dfabadfdaa53b25abe1e0c0f0b3894b31a83b061,apt2015,http://206.189.45.148:443/JBdjkKI5ehxhDWAMO_SzJQO5gDtm0Ba7DUCEYNntG2k8TSn2cpkvJEdXsNg2XOnY_WpGbLNbuafhSvVdRWJUjlh9p5i5,,206.189.45.148
e77e78a514459c50891334b8cb8199ff04cfb151ffa29260516098d12f1267e1,apt2015,109.87.231.216:1604,,109.87.231.216
e705642623688a534fa6cf4d63edad3f81886cdc1a3eed0f62fa35a25708b532,apt2015,test777test.ddns.net:1605,test777test,ddns
e16b54b0e20b5fa20f57623f6ae72f0afd9f7d1857e880db71e2a4c468f519d2,apt2015,darkdaniblack.no-ip.biz:1604,darkdaniblack,no-ip
e12b45322be430a1355dc4e4f5567cc50b4dbbc48ad2253a9f22c5dc013eaebd,apt2015,109.251.112.39:1604,,109.251.112.39
a539dce6244988aa7c905ba402b8426bfb2c26a5273dd2c991cfcd46efcdf81d,apt2015,80.241.223.128:27373,,80.241.223.128
a539dce6244988aa7c905ba402b8426bfb2c26a5273dd2c991cfcd46efcdf81d,apt2015,80.241.223.128:27374,,80.241.223.128
56ea4781ccefb7596e77fcb7a57fb703007f2fb9b94fe33a3cc5257ab7996d1c,apt2015,lolinha.no-ip.org:200,lolinha,no-ip
56ea4781ccefb7596e77fcb7a57fb703007f2fb9b94fe33a3cc5257ab7996d1c,apt2015,ruley.no-ip.org:200,ruley,no-ip
56ea4781ccefb7596e77fcb7a57fb703007f2fb9b94fe33a3cc5257ab7996d1c,apt2015,wjwj.no-ip.org:200,wjwj,no-ip
dc6ae027272ef367dc71e7cbf7457f345a811f52b04e9557cf8dbb2bbd60c7dd,apt2015,milove.duckdns.org:1604,milove,duckdns
165f8db9c6e2ca79260b159b4618a496e1ed6730d800798d51d38f07b3653952,apt2015,93.190.138.136:443,,93.190.138.136
d90a53693c2efc4a8442f0bb9aa33a094ce4aac9f536b4b6e247d2f0f7f8943e,apt2015,chavbomb.no-ip.info:1604,chavbomb,no-ip
d8abed3f23bcb188dd0e06178497e893615d4fdd4f2ec94bdbaa1d9659a3b5a7,apt2015,leagueofbot.ddns.net:1604,leagueofbot,ddns
d79031c1dc82ba24863da8aecf6d452c066875f52e5bf71e912c8e5f3824eff9,apt2015,apohax.no-ip.org:1604,apohax,no-ip
d533467474b94674c8ff4ff0c2cd19cd55152d29f1ecf58ec028e23f46cf779d,apt2015,onyedi123.no-ip.net:5552,onyedi123,no-ip
d48246216927a7c7b3f9e5525ba132c73828c2d0e5254b148be192d76f5a2315,apt2015,hiaawathagotya.no-ip.org:25565,hiaawathagotya,no-ip
d40216847c36f26644e68ec637321b9ec272c442717562414dd34c2ff087cd23,apt2015,getricherz.no-ip.biz:1015,getricherz,no-ip
bee392202c05038c93f4f06d93e9549313f2a7334480956176c3469b5dc57680,apt2015,93.190.138.136:443,,93.190.138.136
e17bdf72b3c6c53a3ee77e3edc0b9cf7a2eb194210e071f4eb80aa1d6ee3cb2d,apt2015,lolinha.no-ip.org:200,lolinha,no-ip
e17bdf72b3c6c53a3ee77e3edc0b9cf7a2eb194210e071f4eb80aa1d6ee3cb2d,apt2015,ruley.no-ip.org:200,ruley,no-ip
e17bdf72b3c6c53a3ee77e3edc0b9cf7a2eb194210e071f4eb80aa1d6ee3cb2d,apt2015,wjwj.no-ip.org:200,wjwj,no-ip
cfbe762fd66b7293ac931bdcef02834a8fb7d4ba8b75bc9f5b06808aee490dd6,apt2015,80.241.223.128:27373,,80.241.223.128
cfbe762fd66b7293ac931bdcef02834a8fb7d4ba8b75bc9f5b06808aee490dd6,apt2015,80.241.223.128:27474,,80.241.223.128
1f76637bdb839db7b43be7284b9b6482827529ac14406659a373ab3521651a2f,apt2015,93.190.138.136:443,,93.190.138.136
24bd38251a32db34724eee650b3c7ca3c7925cd12c726b07039715df539771db,apt2015,taskmgr.redirectme.net:2012,taskmgr,redirectme
24bd38251a32db34724eee650b3c7ca3c7925cd12c726b07039715df539771db,apt2015,taskmgr.servehttp.com:2008,taskmgr,servehttp
cc511fd5fb450965ea680d90fc2a56282c52f8ca672fb8584195b4cfc614c223,apt2015,hacker2015.no-ip.org:1177,hacker2015,no-ip
cb457186690b39f2474f786c0ddf6ae64c39668a81c953a2c639d074e48aef63,apt2015,127.0.0.1:53,,127.0.0.1
cb457186690b39f2474f786c0ddf6ae64c39668a81c953a2c639d074e48aef63,apt2015,192.168.1.16:1500,,192.168.1.16
cb457186690b39f2474f786c0ddf6ae64c39668a81c953a2c639d074e48aef63,apt2015,aromate101.dynu.com:1500,aromate101,dynu
cb457186690b39f2474f786c0ddf6ae64c39668a81c953a2c639d074e48aef63,apt2015,aromate101.dynu.com:53,aromate101,dynu
cb457186690b39f2474f786c0ddf6ae64c39668a81c953a2c639d074e48aef63,apt2015,paulx.no-ip.biz:1500,paulx,no-ip
